drinkname,rum,soda,grain alcohol,herb,anis,vodka,citrus,currant,spice,brandy,syrup,agave,almond,bitters,campari,apple,whiskey,cream,cocoa,beer,berries,butter,salt,champagne,coke,milk,coconut,coffee,wine,tropical fruit,gin,grape,guava,tequila,cookie,peach,chili,ice cream,rose,vinegar,tomato,water,yoghurt
Daiquiri,1.5,0.0,0.0,0,0,0.0,0,0,0,0.0,0.167,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Danbooka,0.0,0.0,0.0,0,0,0.034,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,3.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Dragonfly,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,1.5,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Downshift,1.0,1.0,2.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,1,0.0,0,0,2.0,0,0,0,0,0,0,0,0,0.0
Dry Rob Roy,0.0,0.0,0.0,1,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2.5,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,1.5,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Dry Martini,0.0,0.0,0.0,1,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.3333333333333333,0,1.6666666666666663,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Dirty Nipple,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Dirty Martini,0.0,0.0,0.0,1,0,70.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,1,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Darkwood Sling,0.0,1.0,0.0,0,0,0.0,1,0,0,1.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Dark Caipirinha,0.0,0.0,2.5,0,0,0.0,0,0,0,0.0,2.834,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Duchamp's Punch,0.0,0.0,0.5072099999999999,1,0,0.0,0,0,1,5.0,1.35256,0,0,0.66,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Dark and Stormy,5.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,3.3814,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Damned if you do,0.0,0.0,0.0,0,0,0.0,0,0,0,0.375,0.0,0,0,0.0,0.0,0,0.75,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Dubonnet Cocktail,0.0,0.0,0.0,1,0,0.0,0,0,0,0.0,0.0,0,0,0.33,1.5,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,1.5,0,0.75,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Drinking Chocolate,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1,0.0,0,0,0,0.0,0.0,56.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Egg Cream,0.0,6.0,0.0,0,0,0.0,0,0,0,0.0,1.0,0,0,0.0,0.0,0,0.0,0,1,0.0,0,0,0,0.0,0.0,48.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Egg Nog #4,0.5,0.0,0.0,0,0,0.0,0,0,1,0.0,0.04175,0,0,0.0,0.0,0,0.5,1,0,0.0,0,0,1,0.0,0.0,16.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
English Highball,0.0,0.0,0.0,1,0,0.0,0,0,0,0.75,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.75,0,0.75,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Espresso Martini,1.0,0.0,0.0,0,0,5.0,0,0,0,0.0,0.33814,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Espresso Rumtini,1.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.75,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,2.5,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Egg Nog - Healthy,1.0,0.0,0.0,0,0,0.0,0,0,1,0.0,0.501,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,8.171,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
English Rose Cocktail,0.0,0.0,0.0,1,0,0.0,0,0,0,0.75,0.167,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.75,0,1.5,0,1,0.0,0,0,0,0,0,0,0,0,0.0
Egg-Nog - Classic Cooked,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.04175,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,1,0.0,0.0,8.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Empellón Cocina's Fat-Washed Mezcal,0.0,0.0,1.625,0,0,0.0,0,0,0,0.0,0.0,1,0,0.0,0.0,0,0.0,0,1,0.0,0,0,0,0.0,0.0,0.0,0,0.5,0.0,0,0.0,0,0,2.0,0,0,0,0,0,0,0,0,0.0
Frappé,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.2505,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,4.0,0,0.5,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
